 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Median,Skew,Kurt,%Area,AR,Round,Solidity
1027,123,56055.862,11578.202,26833,65535,1891.362,2170.638,1891.571,2170.703,42.541,1886,2163,11,16,17.532,8.933,66.755,0.854,62474,-0.937,-0.583,100,1.963,0.510,0.972
1028,262,46993.156,14403.214,16272,65535,1269.744,2171.187,1270.240,2171.388,64.850,1256,2164,26,15,27.196,12.266,161.662,0.783,50204,-0.331,-1.210,100,2.217,0.451,0.949
1029,83,43735.988,15200.100,20093,65534,1580.958,2169.355,1581.263,2169.673,32.510,1575,2165,12,9,11.556,9.145,172.622,0.987,42504,-0.002,-1.372,100,1.264,0.791,0.971
1030,39,47547.077,14149.263,21106,65495,1467.372,2170.628,1467.655,2170.679,21.817,1464,2167,7,7,7.379,6.729,45.002,1.000,49594,-0.212,-1.364,100,1.097,0.912,0.963
1031,172,56710.436,10959.670,27725,65535,1488.140,2178.721,1488.133,2178.810,49.908,1479,2172,18,13,19.557,11.198,159.907,0.868,62507,-1.125,0.053,100,1.747,0.573,0.961
1032,197,46873.508,13621.195,21527,65535,1534.754,2181.881,1534.605,2181.926,55.776,1524,2175,22,13,23.558,10.647,163.048,0.796,46264,-0.158,-1.290,100,2.213,0.452,0.947
1033,287,45904.540,10335.465,21042,64310,1804.517,2187.730,1804.568,2187.849,68.678,1791,2181,27,14,28.906,12.641,8.071,0.765,47884,-0.557,-0.703,100,2.287,0.437,0.935
1034,228,53368.018,11571.137,23829,65535,1481.241,2194.667,1481.656,2194.691,54.460,1471,2187,20,15,19.712,14.727,13.254,0.966,55954,-0.746,-0.558,100,1.338,0.747,0.972
1035,42,41577.262,13440.106,19614,64619,1725.262,2191.905,1725.629,2192.124,23.126,1721,2189,8,6,8.657,6.177,164.817,0.987,43399,0.095,-1.181,100,1.401,0.714,0.988
1036,96,44058.458,16696.480,17265,65535,1541.406,2198.521,1541.470,2198.645,34.615,1536,2193,11,11,11.384,10.737,141.731,1.000,41602,-0.006,-1.550,100,1.060,0.943,0.975
1037,28,41261.857,10938.416,24591,60144,1592.000,2198.000,1592.180,2198.078,18.927,1588,2196,8,4,8.247,4.323,0.000,0.982,38997,0.182,-1.124,100,1.908,0.524,1.037
1038,151,45048.265,17789.165,17463,65535,1574.937,2205.533,1575.335,2205.778,43.537,1568,2199,14,13,14.318,13.428,166.338,1.000,48263,-0.132,-1.614,100,1.066,0.938,0.984
1039,221,53702.081,13748.923,18567,65535,1645.618,2218.790,1645.937,2218.969,53.705,1636,2211,19,15,18.868,14.914,6.289,0.963,60663,-1.030,-0.248,100,1.265,0.790,0.974
1040,225,47533.547,16408.901,17519,65535,1601.389,2225.198,1601.477,2225.587,64.287,1592,2213,21,21,24.983,11.467,135.831,0.684,50286,-0.323,-1.446,100,2.179,0.459,0.852
1041,227,51043.568,11538.210,23245,65514,1442.416,2222.262,1442.406,2222.159,54.578,1433,2214,18,17,18.436,15.677,156.558,0.958,53275,-0.635,-0.618,100,1.176,0.850,0.952
1042,213,55279.056,12945.094,23111,65535,1692.683,2224.631,1692.742,2224.802,52.501,1685,2216,16,18,18.340,14.788,53.513,0.971,62954,-0.980,-0.468,100,1.240,0.806,0.986
1043,271,48800.675,10904.492,24701,65535,1478.910,2231.758,1479.225,2231.739,60.797,1470,2221,18,21,23.472,14.701,56.806,0.921,49667,-0.385,-0.780,100,1.597,0.626,0.980
1044,160,44318.994,15401.648,18448,65534,1544.269,2229.681,1544.540,2230.004,46.066,1536,2223,16,13,17.106,11.909,157.038,0.947,45190,-0.127,-1.414,100,1.436,0.696,0.973
1045,48,42921.438,8631.921,27939,58748,1364.083,2229.875,1363.716,2229.734,29.649,1357,2227,12,7,11.897,5.137,160.193,0.686,41915,0.187,-1.129,100,2.316,0.432,0.873
1046,107,47059.991,13592.242,23080,65535,1850.752,2233.332,1851.126,2233.565,37.962,1844,2228,13,11,13.802,9.871,25.737,0.933,45535,-0.051,-1.362,100,1.398,0.715,0.955
1047,233,24834.558,3720.282,17477,35657,1836.311,2240.217,1836.288,2240.232,56.341,1828,2231,17,19,20.222,14.670,53.041,0.922,25091,0.094,-0.563,100,1.378,0.725,0.967
1048,301,47246.219,14637.045,17660,65532,1578.447,2251.905,1579.040,2252.282,66.216,1567,2242,22,21,25.880,14.808,140.932,0.863,50738,-0.483,-1.128,100,1.748,0.572,0.957
